Date,Item Name,Quantity Sold (kilo),Sales_count,Discount (Yes/No),Unit Selling Price (RMB/kg),monthOfyear
2020-07-01,Broccoli,34.554,79,0,14.0,7
2020-07-01,Chinese Cabbage,14.748,16,0,3.2,7
2020-07-01,Eggplant (2),17.661,32,0,6.0,7
2020-07-01,Hongshujian,22.402,58,1,4.0,7
2020-07-01,Huangbaicai (2),6.5489999999999995,11,0,9.0,7
2020-07-01,Millet Pepper,4.383,45,0,25.8,7
2020-07-01,Paopaojiao (Jingpin),54.548,137,0,7.6,7
2020-07-01,Qinggengsanhua,12.086,24,0,9.0,7
2020-07-01,Shanghaiqing,11.475999999999999,28,0,10.0,7
2020-07-01,Spinach,5.4719999999999995,14,0,14.0,7
2020-07-01,Xixia Mushroom (1),7.693,40,1,16.0,7
2020-07-01,Yunnan Lettuces,32.579,71,0,6.0,7
2020-07-01,Yunnan Shengcai,41.966,114,0,8.0,7
2020-07-01,Zhuyecai,11.352,24,0,6.0,7
2020-07-02,Broccoli,30.109,65,0,14.0,7
2020-07-02,Chinese Cabbage,11.228,13,1,0.7,7
2020-07-02,Eggplant (2),14.432,26,0,7.0,7
2020-07-02,Hongshujian,22.549,57,1,4.0,7
2020-07-02,Huangbaicai (2),4.811,10,1,3.8,7
2020-07-02,Luosi Pepper,5.844,23,0,10.0,7
2020-07-02,Millet Pepper,4.148,44,0,25.8,7
2020-07-02,Paopaojiao (Jingpin),39.81,98,0,7.6,7
2020-07-02,Qinggengsanhua,13.834,30,0,9.0,7
2020-07-02,Shanghaiqing,6.806,17,0,10.0,7
2020-07-02,Xixia Mushroom (1),17.345,69,0,19.8,7
2020-07-02,Yunnan Lettuces,27.056,64,0,6.0,7
2020-07-02,Yunnan Shengcai,44.873,111,1,3.4,7
2020-07-02,Zhuyecai,11.556000000000001,24,0,6.0,7
2020-07-03,Broccoli,26.46,64,0,14.0,7
2020-07-03,Chinese Cabbage,10.446,15,0,3.6,7
2020-07-03,Eggplant (2),17.553,33,0,7.0,7
2020-07-03,Hongshujian,13.734,41,1,4.0,7
2020-07-03,Huangbaicai (2),9.991,19,0,9.0,7
2020-07-03,Luosi Pepper,9.099,25,0,10.0,7
2020-07-03,Millet Pepper,3.935,42,0,25.8,7
2020-07-03,Paopaojiao (Jingpin),32.351,87,0,7.6,7
2020-07-03,Qinggengsanhua,15.616,32,0,8.0,7
2020-07-03,Shanghaiqing,13.120000000000001,29,1,5.9,7
